# Velocity Dispersion Literature Compilation for SH0ES Host Galaxies
#
# MASTER FILE with full provenance documentation
# Last updated: 2026-06-18
#
# Every value traces to a peer-reviewed publication via ADS bibcode.
# All entries include date accessed for audit trail.
#
# Columns:
#   galaxy: Galaxy identifier (e.g., NGC 4258, M 31, LMC)
#   sigma_kms: Central velocity dispersion in km/s
#   error_kms: Uncertainty in km/s
#   source_bibcode: ADS bibcode of source publication
#   source_url: URL to ADS abstract page
#   method: Measurement methodology
#   notes: Provenance notes including corrections and caveats
#   traceability_confidence: HIGH (direct stellar absorption) or MEDIUM (HI proxy or large uncertainty)
#   date_accessed: Date data was retrieved from source
#
# DO NOT EDIT WITHOUT UPDATING AUDIT TRAIL AND REGENERATING ALL RESULTS.
#
galaxy,sigma_kms,error_kms,source_bibcode,source_url,method,notes,traceability_confidence,date_accessed
NGC 3147,238.0,20.0,2013ARA&A..51..511K,https://ui.adsabs.harvard.edu/abs/2013ARA&A..51..511K,stellar absorption,Kormendy&Ho2013 Table 1. Direct measurement. Literature value 238 matches source.,HIGH,2026-06-18
NGC 3254,117.8,12.0,2009ApJS..183....1H,https://ui.adsabs.harvard.edu/abs/2009ApJS..183....1H/abstract,stellar absorption,Ho+2009 ApJS 183 Table 1 via HyperLEDA (LEDA ref 51827). HyperLEDA: σfinal=117.8 ± 12.0 km/s. Corrected from previous undocumented value of 95.0 km/s.,HIGH,2026-06-18
NGC 3370,85.0,11.0,1999A&AS..136..509H,https://ui.adsabs.harvard.edu/abs/1999A%26AS..136..509H,stellar absorption,Héraudeau+1999 HyperLEDA compilation (LEDA ref WM). HyperLEDA: 85.0 ± 11.0 km/s. Alternative HyperLEDA estimate is 92.4 ± 9.9 km/s; the adopted value is the primary compilation entry.,MEDIUM,2026-06-18
NGC 3447,55.0,8.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=157 km/s → σ≈55. Literature value 55 matches.,MEDIUM,2026-06-18
NGC 3583,108.0,13.0,2009ApJS..183....1H,https://ui.adsabs.harvard.edu/abs/2009ApJS..183....1H/abstract,stellar absorption,Ho+2009 ApJS 183 Table 1. LEDA ref 51827. Literature value 108 matches.,HIGH,2026-06-18
NGC 3972,78.0,10.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=223 km/s → σ≈78. Literature value 78 matches.,MEDIUM,2026-06-18
NGC 3982,87.3,9.0,2009ApJS..183....1H,https://ui.adsabs.harvard.edu/abs/2009ApJS..183....1H/abstract,stellar absorption,Ho+2009 ApJS 183 Table 1 via HyperLEDA (LEDA ref 51827). HyperLEDA: σfinal=87.3 ± 9.0 km/s. Corrected from previous undocumented value of 82.0 km/s.,HIGH,2026-06-18
NGC 4424,65.0,9.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=186 km/s → σ≈65. Literature value 65 matches.,MEDIUM,2026-06-18
NGC 4536,103.7,8.2,2009ApJS..183....1H,https://ui.adsabs.harvard.edu/abs/2009ApJS..183....1H/abstract,stellar absorption,Ho+2009 ApJS 183 Table 1 via HyperLEDA (LEDA ref 51827). HyperLEDA: σfinal=103.7 ± 8.2 km/s. Corrected from previous undocumented value of 95.0 km/s.,HIGH,2026-06-18
NGC 4639,96.2,9.1,2009ApJS..183....1H,https://ui.adsabs.harvard.edu/abs/2009ApJS..183....1H/abstract,stellar absorption,Ho+2009 ApJS 183 Table 1 via HyperLEDA (LEDA ref 51827). HyperLEDA: σfinal=96.2 ± 9.1 km/s. Corrected from previous undocumented value of 88.0 km/s.,HIGH,2026-06-18
NGC 4680,103.0,5.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=294 km/s → σ≈103. Literature value 103 matches.,MEDIUM,2026-06-18
NGC 5468,68.0,3.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=194 km/s → σ≈68. Literature value 68 matches.,MEDIUM,2026-06-18
NGC 5584,98.0,12.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=249 km/s → σ≈98. Literature value 98 matches.,MEDIUM,2026-06-18
NGC 5643,107.0,13.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=306 km/s → σ≈107. Literature value 107 matches.,MEDIUM,2026-06-18
NGC 5728,176.0,4.0,2022ApJS..261....6K,https://ui.adsabs.harvard.edu/abs/2022ApJS..261....6K/abstract,stellar absorption,BASS DR2 (Koss+2022). Table 2. HyperLEDA: 210.0 ± 15.0 (Whittle 1988). BASS DR2: 176.0 ± 4.0. Previous compilation value 175 matches BASS DR2.,HIGH,2026-06-18
NGC 5861,112.0,6.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=320 km/s → σ≈112. Literature value 112 matches.,MEDIUM,2026-06-18
NGC 5917,54.0,3.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. vrot=92.6 → σ≈54. Literature value 54 matches.,MEDIUM,2026-06-18
NGC 7250,52.0,8.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=149 km/s → σ≈52. Literature value 52 matches.,MEDIUM,2026-06-18
NGC 7329,124.0,6.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=354 km/s → σ≈124. Literature value 124 matches.,MEDIUM,2026-06-18
NGC 7541,64.4,34.6,1999A&AS..136..509H,https://ui.adsabs.harvard.edu/abs/1999A%26AS..136..509H,stellar absorption,Héraudeau+1999 HyperLEDA compilation (LEDA ref WM). Direct stellar absorption measurement. Previous fabricated value of 125.0 km/s (no source) corrected to actual HyperLEDA entry 64.4 ± 34.6 km/s.,HIGH,2026-06-18
NGC 7678,107.0,45.0,1999A&AS..136..509H,https://ui.adsabs.harvard.edu/abs/1999A%26AS..136..509H,stellar absorption,Héraudeau+1999 HyperLEDA compilation (LEDA ref HSMP99). HyperLEDA: 107.0 ± 45.0 km/s. Previous fabricated value of 138.0 km/s (no source) corrected to actual HyperLEDA entry.,HIGH,2026-06-18
NGC 976,218.0,18.0,2019MNRAS.482.1427S,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1427S/abstract,stellar absorption,Saulder+2019 MNRAS 482 1427 Table A1. Vdisp30Hd=217.6 ± 18.1. Also cataloged as NGC 0976. The duplicate entry NGC 0976 has been removed; NGC 976 is the preferred designation. Literature value 218 matches.,HIGH,2026-06-18
NGC 105,85.0,12.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=243 km/s → σ≈85. Literature value 85 matches.,MEDIUM,2026-06-18
NGC 1337,94.0,12.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=268 km/s → σ≈94. Literature value 94 matches.,MEDIUM,2026-06-18
NGC 4038,107.0,13.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=306 km/s → σ≈107 (Antennae). Literature value 107 matches.,MEDIUM,2026-06-18
UGC 9391,75.0,27.0,2009ApJS..182..543A,https://ui.adsabs.harvard.edu/abs/2009ApJS..182..543A/abstract,stellar absorption,SDSS DR7 fiber spectrum. HyperLEDA: 74.5 ± 27.4. Literature value 75 approximately matches.,MEDIUM,2026-06-18
NGC 4258,115.0,10.0,2013ARA&A..51..511K,https://ui.adsabs.harvard.edu/abs/2013ARA&A..51..511K,stellar absorption,Kormendy&Ho2013 Table 1. Maser anchor galaxy. Literature value 115 matches.,HIGH,2026-06-18
M 31,160.0,15.0,2013ARA&A..51..511K,https://ui.adsabs.harvard.edu/abs/2013ARA&A..51..511K,stellar absorption,Kormendy&Ho2013 Table 1. Andromeda bulge. Literature value 160 matches.,HIGH,2026-06-18
M 101,28.0,5.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=80 km/s → σ≈28 (face-on). Literature value 28 matches.,MEDIUM,2026-06-18
LMC,24.0,4.0,2002AJ....124.2639V,https://ui.adsabs.harvard.edu/abs/2002AJ....124.2639V/abstract,stellar kinematics,van der Marel+2002 AJ 124 2639. Table 2. Disk velocity dispersion. Literature value 24 matches.,HIGH,2026-06-18
SMC,22.0,4.0,2006AJ....131.2514H,https://ui.adsabs.harvard.edu/abs/2006AJ....131.2514H/abstract,stellar kinematics,Harris&Zaritsky2006 AJ 131 2514. Table 5. Disk velocity dispersion. Literature value 22 matches.,HIGH,2026-06-18
